task,trial,reward,category,snippet
task_03_dabstep_70_is-martinis-fine-steakhouse-in,trial_1,0,semantic_miss,gemini said 'no'; truth 'Not Applicable'
task_03_dabstep_70_is-martinis-fine-steakhouse-in,trial_2,0,semantic_miss,gemini said 'yes'; truth 'Not Applicable'
task_03_dabstep_70_is-martinis-fine-steakhouse-in,trial_3,0,semantic_miss,gemini said 'no'; truth 'Not Applicable'
task_05_dabstep_1305_for-account-type-h-and,trial_1,0,multi_filter_precision,gemini 0.167126; truth 0.123217 (36% over)
task_05_dabstep_1305_for-account-type-h-and,trial_2,0,multi_filter_precision,gemini 0.146937; truth 0.123217 (19% over)
task_05_dabstep_1305_for-account-type-h-and,trial_3,0,multi_filter_precision,gemini 0.147871; truth 0.123217 (20% over)
task_06_dabstep_1464_what-is-the-fee-id,trial_1,0,implicit_rule_miss,gemini 6 IDs; truth 410 IDs (most-specific-match trap)
task_06_dabstep_1464_what-is-the-fee-id,trial_2,0,implicit_rule_miss,gemini 6 IDs; truth 410 IDs (most-specific-match trap)
task_06_dabstep_1464_what-is-the-fee-id,trial_3,0,implicit_rule_miss,gemini 6 IDs; truth 410 IDs (most-specific-match trap)
task_09_dabstep_1871_in-january-what-delta-would,trial_1,0,counterfactual_planning,gemini -0.80054; truth -0.94810300000017 (16% off leading decimal)
task_09_dabstep_1871_in-january-what-delta-would,trial_2,0,counterfactual_planning,gemini wrong numeric guess; truth -0.94810300000017
task_09_dabstep_1871_in-january-what-delta-would,trial_3,0,counterfactual_planning,gemini wrong numeric guess; truth -0.94810300000017
task_10_dabstep_2697_for-belles-cookbook-store-in,trial_1,0,combinatorial_planning,gemini B:71.58; truth E:13.57 (wrong ACI)
task_10_dabstep_2697_for-belles-cookbook-store-in,trial_2,0,combinatorial_planning,gemini wrong-ACI pick; truth E:13.57
task_10_dabstep_2697_for-belles-cookbook-store-in,trial_3,0,combinatorial_planning,gemini wrong-ACI pick; truth E:13.57
task_11_dabstep_orig_belles_total_2023,trial_1,1,pass,gemini 6764.6140 matches engine truth 6764.614042
task_11_dabstep_orig_belles_total_2023,trial_2,1,pass,gemini 6764.6140 matches engine truth 6764.614042
task_11_dabstep_orig_belles_total_2023,trial_3,1,pass,gemini 6764.6140 matches engine truth 6764.614042
task_12_dabstep_orig_belles_mcc_counterfactual,trial_1,0,rule_overlap_misread,gemini +6408.714623; truth +6690.646000 (4% under on delta)
task_12_dabstep_orig_belles_mcc_counterfactual,trial_2,1,pass,gemini +6690.646000 matches engine truth
task_12_dabstep_orig_belles_mcc_counterfactual,trial_3,1,pass,gemini +6690.646000 matches engine truth
task_14_dabstep_orig_crossfit_monthly_sd,trial_1,0,rule_overlap_misread,gemini 116.826377; engine truth 117.857204 (0.9% under, possible engine-noise)
task_14_dabstep_orig_crossfit_monthly_sd,trial_2,0,rule_overlap_misread,gemini 116.826377; engine truth 117.857204 (0.9% under)
task_14_dabstep_orig_crossfit_monthly_sd,trial_3,0,rule_overlap_misread,gemini 116.826377; engine truth 117.857204 (0.9% under)
